epoch,train_acc,test_acc
0,6.933333333333333,8.0
1,93.93333333333334,83.0
2,97.06666666666666,84.66666666666667
3,98.26666666666667,85.33333333333334
4,99.06666666666666,87.0
5,99.4,86.66666666666667
6,99.6,87.0
7,99.66666666666667,87.33333333333333
8,99.73333333333333,88.33333333333333
9,99.8,89.0
10,100.0,89.0
11,100.0,89.0
12,100.0,89.0
13,100.0,89.0
14,100.0,89.0
15,100.0,89.0
16,100.0,89.0
17,100.0,89.33333333333333
18,100.0,89.33333333333333
19,100.0,89.33333333333333
20,100.0,89.33333333333333
21,100.0,89.33333333333333
22,100.0,89.33333333333333
23,100.0,89.33333333333333
24,100.0,89.33333333333333
25,100.0,89.33333333333333
26,100.0,89.33333333333333
27,100.0,89.33333333333333
28,100.0,89.33333333333333
29,100.0,89.33333333333333
30,100.0,89.33333333333333
31,100.0,89.33333333333333
32,100.0,89.33333333333333
33,100.0,89.33333333333333
34,100.0,89.33333333333333
35,100.0,89.33333333333333
36,100.0,89.33333333333333
37,100.0,89.33333333333333
38,100.0,89.33333333333333
39,100.0,89.33333333333333
40,100.0,89.33333333333333
41,100.0,89.33333333333333
42,100.0,89.33333333333333
43,100.0,89.33333333333333
44,100.0,89.33333333333333
45,100.0,89.33333333333333
46,100.0,89.33333333333333
47,100.0,89.33333333333333
48,100.0,89.33333333333333
49,100.0,89.33333333333333
